Instance	ObjValue	RunTime(s)
epsilon = 2
10_100_4	11465	174.694
10_100_5	34233	48.304
10_100_6	30853	63.206
10_100_7	6955	52.898
10_100_8	27988	109.458
10_100_9	10003	60.387
10_100_10	26572	93.208
15_20_1	9734	0.141
15_20_2	3526	0.148
15_20_3	6652	0.111
15_20_4	10763	0.136
15_20_5	8992	0.87
15_20_6	8422	0.121
15_20_7	2325	0.142
15_20_8	2975	0.362
15_20_9	8515	0.936
15_20_10	13558	0.321
15_40_1	4472	3.604
15_40_2	9223	3.354
15_40_3	22869	1.78
15_40_4	10925	1.14
15_40_5	14525	0.735
15_40_6	15402	2.789
15_40_7	27679	1.813
15_40_8	11807	1.274
15_40_9	20632	2.03
15_40_10	24729	3.663
15_60_1	17197	3.369
15_60_2	11702	41.86
15_60_3	15652	28.531
15_60_4	6806	3.378
15_60_5	7636	6.41
15_60_6	17088	5.717
15_60_7	43093	4.901
15_60_8	25756	3.491
15_60_9	5361	15.434
15_60_10	26806	11.948
15_80_1	27790	22.685
15_80_2	6785	23.866
15_80_3	34691	24.451
15_80_4	21185	41.311
15_80_5	20070	24.928
15_80_6	27473	11.05
15_80_7	36308	66.008
15_80_8	15066	14.842
15_80_9	46901	33.017
15_80_10	12732	39.897
15_100_1	71663	26.541
15_100_2	50281	32.35
15_100_3	22932	44.778
15_100_4	41865	68.183
15_100_5	45151	97.77
15_100_6	43629	57.72
15_100_7	57138	77.468
15_100_8	18200	45.111
15_100_9	27513	47.593
15_100_10	36876	46.816
